IsoDatetime,planned_outages_mw,forced_outages_mw,total_outages_mw,planned_outages_uncertainty_mw,forced_outages_uncertainty_mw,total_outages_uncertainty_mw
2016-10-01T00:00:00,15175.9,5398.0,20349.9,0.0,20.0,20.0
2016-10-01T01:00:00,14975.9,5398.0,20149.9,0.0,20.0,20.0
2016-10-01T02:00:00,14775.9,5398.0,19949.9,0.0,20.0,20.0
2016-10-01T03:00:00,14775.9,5398.0,19949.9,0.0,20.0,20.0
2016-10-01T04:00:00,14775.9,5396.75,19948.65,0.0,21.25,21.25
2016-10-01T05:00:00,14914.9,5453.0,20143.9,0.0,25.0,25.0
2016-10-01T06:00:00,15053.9,5393.0,20222.9,0.0,25.0,25.0
2016-10-01T07:00:00,15659.9,5393.0,20828.9,0.0,25.0,25.0
2016-10-01T08:00:00,15659.9,5393.0,20828.9,0.0,25.0,25.0
2016-10-01T09:00:00,15659.9,5269.666666666667,20705.56666666667,0.0,25.0,25.0
2016-10-01T10:00:00,15499.9,4945.0,20220.9,0.0,25.0,25.0
2016-10-01T11:00:00,15339.9,4945.0,20060.9,0.0,25.0,25.0
2016-10-01T12:00:00,15339.9,4945.0,20060.9,0.0,25.0,25.0
2016-10-01T13:00:00,15133.9,4692.5,19602.4,0.0,25.0,25.0
2016-10-01T14:00:00,15233.9,4437.5,19447.4,0.0,27.5,27.5
2016-10-01T15:00:00,14862.066666666666,4435.0,19073.066666666666,0.0,30.0,30.0
2016-10-01T16:00:00,15739.900000000001,4435.0,19950.9,0.0,30.0,30.0
2016-10-01T17:00:00,15898.900000000001,4435.0,20109.9,0.0,30.0,30.0
2016-10-01T18:00:00,15898.900000000001,4435.0,20109.9,0.0,30.0,30.0
2016-10-01T19:00:00,16107.900000000001,4530.7,20414.600000000002,0.0,30.0,30.0
2016-10-01T20:00:00,16297.900000000001,4633.0,20706.9,0.0,30.0,30.0
2016-10-01T21:00:00,16676.4,4883.0,21335.4,0.0,30.0,30.0
2016-10-01T22:00:00,17373.9,4824.75,21974.65,0.0,6.25,6.25
2016-10-01T23:00:00,17373.9,4760.0,21909.9,0.0,5.0,5.0
2016-10-02T00:00:00,17503.9,4760.0,22039.9,0.0,5.0,5.0
2016-10-02T01:00:00,17373.9,4714.625,21864.525,0.0,5.0,5.0
2016-10-02T02:00:00,17373.9,4415.0,21564.9,0.0,5.0,5.0
2016-10-02T03:00:00,17373.9,4415.0,21564.9,0.0,5.0,5.0
2016-10-02T04:00:00,17883.9,4415.0,22074.9,0.0,5.0,5.0
2016-10-02T05:00:00,17783.9,4415.0,21974.9,0.0,5.0,5.0
2016-10-02T06:00:00,17483.9,4415.0,21674.9,0.0,5.0,5.0
2016-10-02T07:00:00,16916.15,4982.75,21674.9,0.0,5.0,5.0
2016-10-02T08:00:00,16689.9,4715.933333333333,21181.833333333336,0.0,5.0,5.0
2016-10-02T09:00:00,16689.9,4722.0,21187.9,0.0,5.0,5.0
2016-10-02T10:00:00,16689.9,4722.0,21187.9,0.0,5.0,5.0
2016-10-02T11:00:00,16434.9,4977.0,20932.9,0.0,5.0,5.0
2016-10-02T12:00:00,16179.9,4573.2,20529.100000000002,0.0,5.0,5.0
2016-10-02T13:00:00,16279.9,4415.0,20470.9,0.0,5.0,5.0
2016-10-02T14:00:00,16034.400000000001,4415.0,20225.4,0.0,5.0,5.0
2016-10-02T15:00:00,15593.900000000001,4415.0,19784.9,0.0,5.0,5.0
2016-10-02T16:00:00,15593.900000000001,4415.0,19784.9,0.0,5.0,5.0
2016-10-02T17:00:00,15127.2,4881.8,19785.0,0.0,5.0,5.0
2016-10-02T18:00:00,14451.016666666668,4881.8,19108.816666666666,0.0,5.0,5.0
2016-10-02T19:00:00,13609.2,4881.8,18267.0,0.0,5.0,5.0
2016-10-02T20:00:00,12962.2,4881.8,17620.0,0.0,5.0,5.0
2016-10-02T21:00:00,13125.2,4881.8,17783.0,0.0,5.0,5.0
2016-10-02T22:00:00,13741.2,4881.8,18399.0,0.0,5.0,5.0
2016-10-02T23:00:00,13964.2,4881.8,18622.0,0.0,5.0,5.0
2016-10-03T00:00:00,13964.2,4881.8,18622.0,0.0,5.0,5.0
2016-10-03T01:00:00,13565.2,4881.8,18223.0,0.0,5.0,5.0
2016-10-03T02:00:00,13272.300000000001,4881.8,17930.1,0.0,5.0,5.0
2016-10-03T03:00:00,12736.2,4881.8,17394.0,0.0,5.0,5.0
2016-10-03T04:00:00,12676.2,4881.8,17334.0,0.0,5.0,5.0
2016-10-03T05:00:00,12576.2,4881.8,17234.0,0.0,5.0,5.0
2016-10-03T06:00:00,12536.2,4881.8,17194.0,0.0,5.0,5.0
2016-10-03T07:00:00,13020.7,4830.1,17626.8,0.0,5.0,5.0
2016-10-03T08:00:00,13195.7,4536.8,17508.5,0.0,5.0,5.0
2016-10-03T09:00:00,13195.7,4895.8,17867.5,0.0,5.0,5.0
2016-10-03T10:00:00,13108.2,4895.8,17780.0,0.0,5.0,5.0
2016-10-03T11:00:00,13020.7,4895.8,17692.5,0.0,5.0,5.0
2016-10-03T12:00:00,13020.7,4895.8,17692.5,0.0,5.0,5.0
2016-10-03T13:00:00,12681.7,4895.8,17353.5,0.0,5.0,5.0
2016-10-03T14:00:00,12222.7,4895.8,16894.5,0.0,5.0,5.0
2016-10-03T15:00:00,11769.7,5500.8,17046.5,0.0,5.0,5.0
2016-10-03T16:00:00,11618.7,5793.3,17188.0,0.0,5.0,5.0
2016-10-03T17:00:00,11618.7,5360.8,16755.5,0.0,5.0,5.0
2016-10-03T18:00:00,11618.7,5159.466666666667,16554.166666666664,0.0,5.0,5.0
2016-10-03T19:00:00,11618.7,4756.8,16151.5,0.0,5.0,5.0
2016-10-03T20:00:00,11502.5,5019.8,16298.3,0.0,5.0,5.0
2016-10-03T21:00:00,11460.433333333334,5019.8,16256.233333333334,0.0,5.0,5.0
2016-10-03T22:00:00,11305.7,4719.8,15586.5,0.0,5.0,94.0
2016-10-03T23:00:00,11305.7,4928.8,15795.5,0.0,5.0,94.0
2016-10-04T00:00:00,11137.7,5509.216666666667,16207.916666666666,0.0,5.0,94.0
2016-10-04T01:00:00,11071.783333333333,5164.8,15797.583333333332,0.0,5.0,94.0
2016-10-04T02:00:00,10346.7,4923.716666666667,14831.416666666666,0.0,5.0,94.0
2016-10-04T03:00:00,10532.7,4901.8,14995.5,0.0,5.0,94.0
2016-10-04T04:00:00,10852.7,5153.841666666667,15567.541666666666,0.0,5.0,94.0
